task,expert,endpoint,method,seed,ranking,same_checkpoint_control,validation_score25,test_fixed_score25,test_ranked_score25,validation_metric,test_metric,validation_call,test_call,threshold,operator,nominal_budget
cub,glsim,MiniCPM,error,2030,probability,False,0.9092499999999999,0.7565930272695893,0.8448740075940628,0.9866666666666667,0.8867794269934415,0.01,0.04142216085605799,0.03516277298331261,ge,0.01
cub,glsim,MiniCPM,four_difference,2026,log_ratio,True,0.9288333333333334,0.7791681049361409,0.8593545046599931,0.9866666666666667,0.8904038660683465,0.01,0.04401104590956161,-3.2388687133789062,ge,0.01
cub,glsim,MiniCPM,four_difference,2026,probability_difference,False,0.9784166666666667,0.8924749741111495,0.8925785295132896,0.9891666666666666,0.9016223679668622,0.01,0.014152571625819814,-0.0050849150866270065,ge,0.01
cub,glsim,MiniCPM,four_difference,2027,log_ratio,True,0.9278333333333334,0.7789437348981705,0.8601656886434242,0.9875,0.8931653434587504,0.01,0.03727994477045219,-1.9760479927062988,ge,0.01
cub,glsim,MiniCPM,four_difference,2027,probability_difference,False,0.9786666666666667,0.8919054193993787,0.89288919571971,0.9891666666666666,0.9016223679668622,0.01,0.008802209181912324,-0.005811857525259256,ge,0.01
cub,glsim,MiniCPM,four_difference,2028,log_ratio,True,0.9224166666666667,0.7610804280289956,0.8570245081118398,0.9866666666666667,0.8929927511218502,0.01,0.03727994477045219,-2.430908203125,ge,0.01
cub,glsim,MiniCPM,four_difference,2028,probability_difference,False,0.9785,0.8917846047635485,0.8931135657576803,0.9891666666666666,0.901449775629962,0.01,0.01052813255091474,-0.0011190498480573297,ge,0.01
cub,glsim,MiniCPM,four_difference,2029,log_ratio,True,0.9264166666666667,0.7758025543665862,0.8551259924059371,0.9866666666666667,0.8919571971004487,0.01,0.034691059716948566,-3.817823648452759,ge,0.01
cub,glsim,MiniCPM,four_difference,2029,probability_difference,False,0.979,0.8903003106662065,0.8916983085950984,0.9891666666666666,0.901449775629962,0.01,0.014670348636520539,-0.004320982377976179,ge,0.01
cub,glsim,MiniCPM,four_difference,2030,log_ratio,True,0.93825,0.7904038660683467,0.8627373144632379,0.9883333333333333,0.8955816361753538,0.01,0.03072143596824301,-1.7466963529586792,ge,0.01
cub,glsim,MiniCPM,four_difference,2030,probability_difference,False,0.979,0.8912323092854677,0.8919399378667587,0.99,0.9012771832930618,0.01,0.018294787711425613,-0.002133682370185852,ge,0.01
